sku_id,category_id,category,sku_name,margin_rate,velocity_index
CAT01-SKU1,CAT01,Condiments,Condiments Item 1,0.4152905297680862,1.0308669324326372
CAT01-SKU2,CAT01,Condiments,Condiments Item 2,0.3950281194236509,1.334527003390296
CAT01-SKU3,CAT01,Condiments,Condiments Item 3,0.4228615622554298,0.9622593554718492
CAT01-SKU4,CAT01,Condiments,Condiments Item 4,0.3999751729118506,1.0542685154778497
CAT02-SKU1,CAT02,Meals,Meals Item 1,0.3285290983497101,1.0127037899630464
CAT02-SKU2,CAT02,Meals,Meals Item 2,0.387734252041874,0.8056032448216853
CAT02-SKU3,CAT02,Meals,Meals Item 3,0.3586087113014609,0.8408838374621989
CAT02-SKU4,CAT02,Meals,Meals Item 4,0.36840139697520946,1.1032910962874143
CAT03-SKU1,CAT03,Cheese,Cheese Item 1,0.3016123959464821,0.9912349119115185
CAT03-SKU2,CAT03,Cheese,Cheese Item 2,0.3694384682361646,0.8065245938445788
CAT03-SKU3,CAT03,Cheese,Cheese Item 3,0.323666918654833,0.8220774384190352
CAT03-SKU4,CAT03,Cheese,Cheese Item 4,0.35877389639312834,0.9413561289401493
CAT04-SKU1,CAT04,Cold Cuts,Cold Cuts Item 1,0.3153189850687922,0.7672503328486815
CAT04-SKU2,CAT04,Cold Cuts,Cold Cuts Item 2,0.310050662335878,0.9943668618009781
CAT04-SKU3,CAT04,Cold Cuts,Cold Cuts Item 3,0.27548123698725574,0.692006398276964
CAT04-SKU4,CAT04,Cold Cuts,Cold Cuts Item 4,0.3315454419712296,0.8879240675806029
CAT05-SKU1,CAT05,Coffee,Coffee Item 1,0.3747937205935767,0.6680141954449711
CAT05-SKU2,CAT05,Coffee,Coffee Item 2,0.4269745137321446,0.6425023374802635
CAT05-SKU3,CAT05,Coffee,Coffee Item 3,0.3559662335626306,0.6611267136251995
CAT05-SKU4,CAT05,Coffee,Coffee Item 4,0.4091555270296779,0.9323645533747047
